index,state,name,district,party,room,phone,committees
0,AL,"Byrne, Bradley",1,R,119 CHOB,202-225-4931,"Armed Services, Education and the Workforce, Rules"
1,AL,"Roby, Martha",2,R,442 CHOB,202-225-2901,"Appropriations, the Judiciary"
2,AL,"Rogers, Mike",3,R,2184 RHOB,202-225-3261,"Agriculture, Armed Services, Homeland Security"
3,AL,"Aderholt, Robert",4,R,235 CHOB,202-225-4876,Appropriations
4,AL,"Brooks, Mo",5,R,2400 RHOB,202-225-4801,"Armed Services, Foreign Affairs, Science, Space, and Technology"
5,AL,"Palmer, Gary",6,R,330 CHOB,202-225-4921,"Oversight and Government, Science, Space, and Technology, the Budget"
6,AL,"Sewell, Terri A.",7,D,2201 RHOB,202-225-2665,"Intelligence (Permanent), Ways and Means"
7,AQ,"Young, Don",At Large,R,2314 RHOB,202-225-5765,"Natural Resources, Transportation"
8,AK,"Radewagen, Amata",At Large,R,1339 LHOB,202-225-8577,"Natural Resources, Small Business, Veterans' Affairs"
9,AZ,"O'Halleran, Tom",1,D,126 CHOB,202-225-3361,Agriculture
10,AZ,"McSally, Martha",2,R,510 CHOB,202-225-2542,"Armed Services, Homeland Security"
11,AZ,"Grijalva, Raul",3,D,1511 LHOB,202-225-2435,"Education and the Workforce, Natural Resources"
12,AZ,"Gosar, Paul A.",4,R,2057 RHOB,202-225-2315,"Natural Resources, Oversight and Government"
13,AZ,"Biggs, Andy",5,R,1626 LHOB,202-225-2635,"Science, Space, and Technology, the Judiciary"
14,AZ,"Schweikert, David",6,R,2059 RHOB,202-225-2190,Ways and Means
15,AZ,"Gallego, Ruben",7,D,1218 LHOB,202-225-4065,"Armed Services, Natural Resources"
16,AZ,"Franks, Trent",8,R,2435 RHOB,202-225-4576,"Armed Services, the Judiciary"
17,AZ,"Sinema, Kyrsten",9,D,1725 LHOB,202-225-9888,Financial Services
18,AR,"Crawford, Rick",1,R,2422 RHOB,202-225-4076,"Agriculture, Intelligence (Permanent), Transportation"
19,AR,"Hill, French",2,R,1229 LHOB,202-225-2506,Financial Services
20,AR,"Womack, Steve",3,R,2412 RHOB,202-225-4301,"Appropriations, the Budget"
21,AR,"Westerman, Bruce",4,R,130 CHOB,202-225-3772,"Natural Resources, the Budget, Transportation"
22,CA,"LaMalfa, Doug",1,R,322 CHOB,202-225-3076,"Agriculture, Natural Resources, Transportation"
23,CA,"Huffman, Jared",2,D,1406 LHOB,202-225-5161,"Natural Resources, Transportation"
24,CA,"Garamendi, John",3,D,2438 RHOB,202-225-1880,"Armed Services, Transportation"
25,CA,"McClintock, Tom",4,R,2312 RHOB,202-225-2511,"Natural Resources, the Budget"
26,CA,"Thompson, Mike",5,D,231 CHOB,202-225-3311,Ways and Means
27,CA,"Matsui, Doris O.",6,D,2311 RHOB,202-225-7163,Energy and Commerce
28,CA,"Bera, Ami",7,D,1431 LHOB,202-225-5716,"Foreign Affairs, Science, Space, and Technology"
29,CA,"Cook, Paul",8,R,1222 LHOB,202-225-5861,"Armed Services, Foreign Affairs, Natural Resources"
30,CA,"McNerney, Jerry",9,D,2265 RHOB,202-225-1947,Energy and Commerce
31,CA,"Denham, Jeff",10,R,1730 LHOB,202-225-4540,"Agriculture, Natural Resources, Transportation"
32,CA,"DeSaulnier, Mark",11,D,115 CHOB,202-225-2095,"Education and the Workforce, Transportation"
33,CA,"Pelosi, Nancy",12,D,233 CHOB,202-225-4965,
34,CA,"Lee, Barbara",13,D,2267 RHOB,202-225-2661,"Appropriations, the Budget"
35,CA,"Speier, Jackie",14,D,2465 RHOB,202-225-3531,"Armed Services, Intelligence (Permanent)"
36,CA,"Swalwell, Eric",15,D,129 CHOB,202-225-5065,"Intelligence (Permanent), the Judiciary"
37,CA,"Costa, Jim",16,D,2081 RHOB,202-225-3341,"Agriculture, Natural Resources"
38,CA,"Khanna, Ro",17,D,513 CHOB,202-225-2631,"Armed Services, the Budget"
39,CA,"Eshoo, Anna G.",18,D,241 CHOB,202-225-8104,Energy and Commerce
40,CA,"Lofgren, Zoe",19,D,1401 LHOB,202-225-3072,"House Administration, Science, Space, and Technology, the Judiciary"
41,CA,"Panetta, Jimmy",20,D,228 CHOB,202-225-2861,"Agriculture, Natural Resources"
42,CA,"Valadao, David",21,R,1728 LHOB,202-225-4695,Appropriations
43,CA,"Nunes, Devin",22,R,1013 LHOB,202-225-2523,"Intelligence (Permanent), Ways and Means"
44,CA,"McCarthy, Kevin",23,R,2421 RHOB,202-225-2915,
45,CA,"Carbajal, Salud",24,D,212 CHOB,202-225-3601,"Armed Services, the Budget"
46,CA,"Knight, Steve",25,R,1023 LHOB,202-225-1956,"Armed Services, Science, Space, and Technology, Small Business"
47,CA,"Brownley, Julia",26,D,1019 LHOB,202-225-5811,"Transportation, Veterans' Affairs"
