"shapeid","STATEFP","CD114FP","AFFGEOID","GEOID","LSAD","CDSESSN","ALAND","AWATER"
"0.0","10","00","5001400US1000","1000","C1","114","5047105127","1398742998"
"0.1","10","00","5001400US1000","1000","C1","114","5047105127","1398742998"
"0.2","10","00","5001400US1000","1000","C1","114","5047105127","1398742998"
"0.3","10","00","5001400US1000","1000","C1","114","5047105127","1398742998"
"1","24","06","5001400US2406","2406","C2","114","5055929740","98328889"
"2","51","09","5001400US5109","5109","C2","114","23605159061","154525039"
"3","08","05","5001400US0805","0805","C2","114","18818285227","61264203"
"4","13","07","5001400US1307","1307","C2","114","1016917582","25618480"
"5","48","06","5001400US4806","4806","C2","114","5564763518","255717101"
"6","49","04","5001400US4904","4904","C2","114","6603580737","374142687"
"7.0","12","12","5001400US1212","1212","C2","114","2291185310","475526115"
"7.1","12","12","5001400US1212","1212","C2","114","2291185310","475526115"
"7.2","12","12","5001400US1212","1212","C2","114","2291185310","475526115"
"8","34","05","5001400US3405","3405","C2","114","2567585494","83505352"
"9","39","02","5001400US3902","3902","C2","114","8343984222","77250488"
"10","22","06","5001400US2206","2206","C2","114","10447602619","1012437654"
"11","18","05","5001400US1805","1805","C2","114","4985231367","40954042"
"12","13","12","5001400US1312","1312","C2","114","21201485836","375889494"
"13","17","02","5001400US1702","1702","C2","114","2798908521","25364917"
"14","31","02","5001400US3102","3102","C2","114","1320334610","43372086"
"15","35","03","5001400US3503","3503","C2","114","116442177819","319452471"
"16","47","09","5001400US4709","4709","C2","114","1251946135","54609411"
"17","48","22","5001400US4822","4822","C2","114","2677364772","60510841"
"18","12","06","5001400US1206","1206","C2","114","6493690835","1789304336"
"19","26","14","5001400US2614","2614","C2","114","480908598","97628209"
"20.0","36","16","5001400US3616","3616","C2","114","202993290","76385505"
"20.1","36","16","5001400US3616","3616","C2","114","202993290","76385505"
"21","39","08","5001400US3908","3908","C2","114","6346923033","40176664"
"22","13","13","5001400US1313","1313","C2","114","1849893422","25863234"
